Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
1194,1990,ROLE-PLAYING GAME,SEMINAR,400356,Castle Construction Crew,"In this hands-on workshop participants will design a castle complete with inhabitants, guards, traps and treasures. A practical application of castle design.",John Wheeler & Peter Rice,Sem,N,4,,,,,,,,,,,,,,,,,,,,,,,,,
1195,1990,ROLE-PLAYING GAME,SEMINAR,400371,"Potent Spells, Powerful Mages","Examine how magic fits into your campaign world, how it works, how it can be played, and what makes it seem spectacular to your players.",John Wheeler & Peter Rice,Sem,I,4,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
1196,1990,ROLE-PLAYING GAME,SEMINAR,400293,Super-Hero Round Table,An annual GEN CON Game Fair event! Join Roger Moore and the top talent from other game companies in a general discussion and gabfest on super power role playing games!,"TSR, Inc.",Sem,N,FREE,"S4, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
1197,1990,ROLE-PLAYING GAME,So You Want to Be a Rock & Roll Star,400442,Rock ’N’ Horror Role-Playing,"Join the “monsters of rock” as your band’s van breaks down on the way home from a gig-way out in the country. There’s only one creepy, old house in sight-so just tell ’em Boris sent you!",Bill Barton Games,Demo,N,FREE,AD,,,,,,,,,,,,,,,,,,,,,,,,
1198,1990,STRATEGIC B0ARDGAME,DEMONSTRATION,200067,Introduction To Car Wars,"The award-winning game of the freeways of the future, where the right of way goes to the biggest guns. A grid system allows realistic movement, with options that feature role playing.",Steve Jackson Games,Sem,N,FREE,"W111, W. Game Hall","C11A,13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
1199,1990,STRATEGIC B0ARDGAME,SEMINAR,200074,Future Of Military Boardgaming,"After Perestroika-After Gorbachev-what will we do for wargames, where will we find new topics? Frank Chadwick, our guest of honor, discusses the future of wargames.",Frank Chadwick,Sem,N,FREE,"S2, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
1200,1990,STRATEGIC B0ARDGAME,SEMINAR,400062,"Remember, When CarWars was FUN","Yep, so do I. Let’s play Paranoia instead. This is your chance to commit mayhem without interference from rules lawyers. This will be a Post Computer Crash adventure.",Ken Primer,1,S,2,"E411, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1201,1990,STRATEGIC B0ARDGAME,REALMS OF MYTH by Stormhawk Pub.,400408,Dark Moon Rising,Merc’s turned brigands plot revenge against all and Lord Belgrathe holds court while dark priests divide his estate. Come expose the dark plot and defeat the mere’s before it’s too late! char.supp.,Stephen Wahl,1,N,2,"K57, Kilbourn",C11A,,,,,,,,,,,,,,,,,,,,,,,
1202,1990,STRATEGIC B0ARDGAME,ROLEMASTER Game by Iron Crown,400216,Cynosure,"A Spacemaster-Rolemaster adventure in a planet sized city that is Nexus of many dimensions. Magic works someplaces, technology others. When drastic alterations occur, agents are sent to investigate.",Garner Johnson,1,S,2,"E202, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1203,1990,STRATEGIC B0ARDGAME,SHADOWRUN by FASA,400131,Race War,"Religious fanatics have kidnapped powerful Elven Mages. A team of humans and a team of awakened must join together to free the captives & expose the menace, before a race war erupts.",John Josten,2,S,2,"E112, E. Game Hall Location: E212, E. Game Hall Location: E312, E. Game Hall Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
1204,1990,STRATEGIC B0ARDGAME,STAR TREK Game by FASA,400248,The Alexander Incident,"The missing Starship is larger and more capable than yours. Star Fleet has assigned the search to you...because, you’re the only Ship in the quadrant. Mystery & Science Fiction adventure.",David Robbins,1,N,2,"E711, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1205,1990,STRATEGIC B0ARDGAME,STAR TREK Game by FASA,400151,"Orion Orion, Who’s Got Orion?","In this sequel to last year’s last Voyage...The crew of the Big E get to find out what is so important about Sil the Grey Orion, that Ferengi merchants and Orion pirates want him.",Stephen Crew,1,N,2,"E409, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1206,1990,STRATEGIC B0ARDGAME,TOON Game by Steve Jackson Games,400069,"What, Again?","Yes! Despite popular demand, Doctor What returns to GEN CON Game Fair! The 7 Doctors must save the Universe, again. Bring weird clothes and a weirder sense of humor. Who rocks? WHAT ROCKS!",Joseph Anthony/,1,N,2,"E414, E. Game Hall",14,,,,,,,,,,,,,,,,,,,,,,,
1207,1990,STRATEGIC B0ARDGAME,VILLAINS & VIGILANTES Game by F.G.U.,400223,What If...,"What if....all of the events that created the heroes & villains of the Marvel Universe had never happened...yet? In this alternate reality, the faces are familiar, the identities are not!",Michael Manolakes,1,I,2,"E613, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1208,1990,RPGA NETWORK SANCTIONED EVENT,2300 AD by Game Designer's Workshop,450026,2300 AD,"“Now Is The Time” by Lester A. Smith. It is midwinter in Australia, and you have lost all contact with a desert laboratory. Your team must check out the situation. OPEN TO ALL. Standard XP.",RPGA Network HQ,1,I,2,"BG-O, Bruce Hall",,,,,,,,,,,,,,,,,,,,,,,,
1209,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450011,AD&D Game Benefit for Okada,“The Jade Monkey” by Carl Buehler and Michael Weaver. You must face a mounting magical mystery and an irrascible enchanted pig or all is lost. Proceeds to the Okada Hearing Dog Program.,RPGA Network HQ,1,I,5,"BG-D, Bruce Hall","11,13",,,,,,,,,,,,,,,,,,,,,,,
1210,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450015,AD&D Game DMs Only,"“Hero” by Don Bingle & Jay Tummelson. This is an exclusive tournament, open to GEN CON Game Fair GAME MASTERS ONLY. If you’re ready for a challenge sign up and find who the real heroes are! Std. XP.",RPGA Network HQ,1,I,2,"BG-H, Bruce Hall",13,,,,,,,,,,,,,,,,,,,,,,,
1211,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450013,AD&D Game Living City,"“Nightwatch” by Walter Baas & Kira Glass. When the fog rolls in, so does danger. And the city’s nightwatch must handle it. MEMBERS ONLY. Players must use their own characters. Std. XP.",RPGA Network HQ,1,I,2,"BG-B, Bruce Hall","12, 13",,,,,,,,,,,,,,,,,,,,,,,
1212,1990,RPGA NETWORK SANCTIONED EVENT,CALL OF CTHULHU Game by Chaosium,450034,CALL OF CTHULHU,“The Beast” by Robert Jones. A team of investigators is sent to a ruins near Uxmal. They are the second string-the first group never returned. 1920s action. MEMBERS ONLY. Standard XP,RPGA Network HQ,1,I,2,"BG-I, Bruce Hall.",,,,,,,,,,,,,,,,,,,,,,,,
1213,1990,RPGA NETWORK SANCTIONED EVENT,"TOP SECRET/S.I. Game by TSR, Inc.",450016,TOP SECRET/SI Game Masters,“Graduation Exercise” by Wes Nicholson. Rookie Orion agents learn just how difficult the spy business can be in this action-packed whodunit MEMBERS ONLY-3rd LEVEL & UP. Triple standard XP.,RPGA Network HQ,1,S,2,"BG-M, Bruce Hall",13,,,,,,,,,,,,,,,,,,,,,,,
1214,1990,SPECIAL -NONGAME,DEMONSTRATION,990002,Box Lunch Program,"Worried about not eating because there’s so much to do at the GEN CON Game Fair. Here’s the solution. Enroll in our Box Lunch Program, then turn in your ticket daily for Lunch-on-the-Run.","TSR, Inc.",Demo,N,8,"FOODPLAN,",14,,,,,,,,,,,,,,,,,,,,,,,
1215,1990,STRATEGIC B0ARDGAME,ABALONE by Abalone Games,200011,Abalone Competition,"Anyone can play, 1 Min. easy-to-learn rules $1,000.00 in Prizes-$500.00 Cash to win. Point System of Scoring. The top winners will have the most points, after a series of games.",Abalone Games,3,N,FREE,"K41, Kilbourn",C11,,,,,,,,,,,,,,,,,,,,,,,
1216,1990,STRATEGIC B0ARDGAME,AXIS & ALLIES by Milton Bradley,200040,Axis And Allies,Grand strategic campaign covering WWII with all major combatants.,Stephen Green,3,I,2,"W401, W. Game Hall Location: W413, W. Game Hall Semi Final: 11 Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
1217,1990,STRATEGIC B0ARDGAME,DEMONSTRATION,200069,Car Wars Tanks,A playtest of a new Steve Jackson Game. Car Wars Tanks is futuristic tank warfare using Car Wars rules.,Steve Jackson Games,Demo,I,FREE,"W113A, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1218,1990,STRATEGIC B0ARDGAME,EMPIRE BUILDER by Mayfair Games,200060,Empire Builder,Test your ability at Empire Builder against all comers. Standard rules will be taught & used. Plaque for the winner & prizes for all table winners. This is the BIG ONE !,Darwin Bromley,2,N,2,"W115A, W. Game Hall Final: 14",,,,,,,,,,,,,,,,,,,,,,,,
1219,1990,STRATEGIC B0ARDGAME,HOME RULES,200035,6-Man Fantasy Pick Up Game,"Wyverns,Inkblots,Dwarfs,Ores,Imps and even Death himself struggle for supremacy. Your destiny may rest on your next pick from the magic Chalice in this twisted game of man, monster and The Plague.",Jeremy Weber,1,N,2,"W316A, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1220,1990,STRATEGIC B0ARDGAME,KINGMAKER by Avalon Hill Games,200026,Kingmaker,The famed board game played on a huge 4 foot by 4 foot hand painted board with miniature figures for markers and variant event cards.,Jerome Sinkovec,1,I,2,"W103, W. Game Hall","13,14",,,,,,,,,,,,,,,,,,,,,,,
1221,1990,STRATEGIC B0ARDGAME,KREMLIN by Avalon Hill,200046,Kremlin Tournament,"A true game of Russian politics. Send your friends to Siberia or just shoot them, it’s quicker!",Rudy Bochek,2,N,2,"W105, W. Game Hall Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
1222,1990,STRATEGIC B0ARDGAME,MYTH FORTUNES by Mayfair Games,200057,Myth Fortunes,"In this wild’n crazy boardgame based on Robert Asprin’s Myth series, players take the part of their favorite Myth characters. This is a vie for fame & fortune’ game with some hilarious twists!",Jacqueline Leeper,1,N,2,"W113B, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1223,1990,STRATEGIC B0ARDGAME,SPEED CIRCUIT by Sports Illustrated,200063,Advanced Speed Circuit,"Experience the thrill of Formula I auto racing, the King of motorsports. This tournament will use Avalon Hills speed circuit plus the formula fury rules. Extensions on large-scale tracks.",Richard White,1,I,2,"W417, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1224,1990,STRATEGIC B0ARDGAME,UP FRONT by Avalon Hill,200064,Surrounded,"Multi player scenario, up to 10, will use just infantry. Bring own game. Hitler’s stubborn command not to give ground, has done it again. Your platoon held while all around lines fell!",Steven Smith,1,I,2,"W109, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1225,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",,,,,,,,,,,,,,,,,,,,,,,,
1226,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2",,,,,,,,,,,,,,,,,,,,,,,,
1227,1990,COMPUTER GAMING,FALCON by Spectrum Holobyte,600013,Falcon,Join our 3rd Annual jet fighter competition and go head-to-head in your F-16 against other pilots to determine who really is the Top Gun! Only the best will qualify for the final flyoff on Sunday.,Milwaukee Area Commodore Enthusiast,2,N,2,"CGA, W. Hall FI. 2 Final: 13A",,,,,,,,,,,,,,,,,,,,,,,,
1228,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hal! FI. 2",10B,,,,,,,,,,,,,,,,,,,,,,,
1229,1990,COMPUTER GAMING,RISK Software by Virgin/Mastertronics,600012,Risk,Back by popular demand! The classic game of conquest. Only the very best qualify for the finals on Sunday!,Milwaukee Area Commodore Enthusiast,2,N,2,"CGA, W. Hall FI. 2 Final: 13",,,,,,,,,,,,,,,,,,,,,,,,
1230,1990,COMPUTER GAMING,SEMINAR,600000,"SSI, TSR, and AD&D Game","Come find out what’s new at SSI. Explore the hot upcoming releases and future plans. Hear game developers expound over SSI, and get your questions answered.","Strategic Simulations, Inc.",Sem,N,FREE,"S1, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
1231,1990,FAMILY/COMMERICAL GAMING,DEMONSTRATION,100007,ELIXIR Demonstration,The kingdom’s wackiest wizards are racing to brew the magical Elixir of Life -ahd you are one of them! No one knows the secret formula. It changes every game!,"TSR, Inc.",Demo,N,FREE,"TSRDEM01, Great Hall","10B, 14A, 14B",,,,,,,,,,,,,,,,,,,,,,,
1232,1990,MINIATURE GAMING,"AD&D Game by TSR, Inc.",300059,Plaything,"Ever wanted to get strategic with AD&D game rules? Begin a new style of role playing with this haunting hack’n slash Miniature, role playing arena-style game.",William Corey ll,1,S,2,"W123, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1233,1990,MINIATURE GAMING,"AD&D Game by TSR, Inc.",300131,The Throne Of Wishes,"Trapped in a plague infested city a stranger offers you a chance to get out. But first you must help find the Throne of Wishes.... AD&D 2nd Edition 6-8 players, skilled.",Joseph Zellmer,1,S,2,"W421, W. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1234,1990,MINIATURE GAMING,BATTLETECH by FASA,300024,Operation DooLittle,Drop ships for the taking! 3 Lances of Mechs attack a Valley repair facility for Drop Ships.,Damien Daniels,1,I,2,"W119, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1235,1990,MINIATURE GAMING,CHAOS WARS by Ral Partha,300033,The Dark Lord of Hyfix,All flee the dark lord & his vile army. The last remains of the Hiberian Army stand with aid from the Elves & Dwarves. To destroy the dark lord is their task! But which one is the dark lord?,John Sims,1,N,2,"W122, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1236,1990,MINIATURE GAMING,CHARLIE COMPANY by Ulster Imports,300030,Charlie Company Jungle Battles,Vietnam squad/platoon level miniatures simulating jungle clashes between the US 1st Cav and NVA troops.,Richard Eichenlaub,1,N,2,"W220, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1237,1990,MINIATURE GAMING,COMMAND DECISION by GDW,300047,Defense of the Twin Villages,"The 1st. S.S. Panzer Corps attacks the villages of Rechgrath-Krinkett on Dec. 18,1944. 1/285 scale",John Kinder,1,I,2,"W208, W. Game Hall",C12,,,,,,,,,,,,,,,,,,,,,,,
1238,1990,MINIATURE GAMING,HEART OF OAK MINIATURE RULES,300146,Blood & Smoke at Porta Negra,Ks fiesta time for the Spanish Fleet in the harbor of Porta Negra. But surprise! Surprise! The British are coming.,Peter Owen,1,I,2,"W311, W. Game Hall",C12,,,,,,,,,,,,,,,,,,,,,,,
1239,1990,MINIATURE GAMING,HOME RULES,300008,1st. Tanks-Meat on the Table!,British and German Tanks meet by accident in an all out offensive. Both sides intended to surprise the enemy with their Armoured onslaught.,Randall Giesey Jr.,1,N,2,"W318, W. Game Hall",C12,,,,,,,,,,,,,,,,,,,,,,,
1240,1990,MINIATURE GAMING,HOME RULES,300035,The Eight Hours of Le Mans,"Could you win at Le Mans? Bring a teammate and find out. As you run a Porsche, Sauber or Jaguar in this exciting 8-hour miniature event which re-creates the World’s most famous Auto Race!",Mike Carr,1,N,2,"W216, W. Game Hall",12A,,,,,,,,,,,,,,,,,,,,,,,
1241,1990,MINIATURE GAMING,INNER CITY Role-Playing Game Rules,300102,Arena,You are about to enter the fight of your life. Choose carefully the monsters that represent you in the Arena. Tag-Team combat with miniature figures on a multiple terrain board.,Daniel Lewis,1,N,2,"W121, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1242,1990,MINIATURE GAMING,RENEGADE LEGION by FASA,300039,Circus Raucous!,"You’re screaming around the track in a grav chariot behind 2 tons of rampaging carnivorous beasts, while your opponents beasts are busily making a meal of your gluteus maximus!",Clayton Haldeman,2,N,2,"W315, W. Game Hall Final: 13",,,,,,,,,,,,,,,,,,,,,,,,
1243,1990,MINIATURE GAMING,SEAPOWER Game System,300041,Atlantic Action,Modified seapower rules with a computer. A big clash between German and British warships in the Atlantic.,Jerome Sinkovec,1,I,2,"W21, Atrium West",C12,,,,,,,,,,,,,,,,,,,,,,,
1244,1990,OTHER,WRESTLING WARRIORS,900035,Superstar Struggle,Eight wrestlers square off in a tournament to crown the new world Champion. Have you got what it takes? Rules will be taught.,Walter Spafford,1,N,2,"E204, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1245,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400349,LANKHMAR: Adventure in Nehwon,An action packed adventure in which many seldom trodden reaches of Nehwon will be explored. Perhaps you will meet Fafhrd or the Gray Mouser.,"TSR, Inc.",1,I,2,"E314, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1246,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400242,High Steaks III...,Cows-mic Banditos. On the once peaceful world of Landur all hell has broken loose. Entire towns are being turned to stone overnight! Our heros risk their sanity to solve this latest evil plot.,Ralph Schurman,2,S,2,"E513, E. Game Hall Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
1247,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400194,Battle Of Gnome Hill,"30 years after the devastating Flutter Bug War, evil & chaos stir across the land. A clan of peaceful Gnomes have suddenly become anti-social and withdrawn. Human youths are missing.",Patrick Spera,1,N,2,"E606, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1248,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400256,Cleric’s Quest!,An artifact built by long-dead Gods has fallen into the hands of an ancient inhuman necromancer. You must join 9 rival clerics & seek out this device. Can you save your world & further your God,Solomon Mintzer,1,S,2,"E705, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1249,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400224,The Dragons Bane,One of the 8 orbs of power has resurfaced on this plane...in the hands of evil. Your party must capture the orb before it is used to create an invincible army.,Jeff Huston,1,S,2,"E612, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1250,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400319,Duncon’s Return,"For all those who played in Harper Sword, The epic continues as the party finally returns to their homeland. In this adventure Duncon attempts to regain his home & his rightful Title as Fifth Earl",Theresa Hurley-Felton,1,S,2,"E505, E. Game Hall",14,,,,,,,,,,,,,,,,,,,,,,,
1251,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400162,Dungeon Duel,A head to head competition as two groups clash for supremacy in the same dungeon at the same time. Only one group will emerge victorious.,Randy Stier,1,I,2,"E304, E. Game Hall Location: E403, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1252,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400171,Escape From New York,"Another movie adaptation from the creator of the Warriors,GC’89. Similar to the movie, a team of criminals must rescue the King from a city of evil in 48 hours,or die! Emphasis on roleplaying",Adam Lesh,1,S,2,"E503, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1253,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400236,The Holy Grail- Take 2,The quest for the cup of our Lord met with a rather abrupt end when we were put in jail. Join the quest where the pythons left off!,Mark Mastej,1,S,2,"E406, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1254,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400129,The J-Mart Dungeon,"Playing hide and seek with Gods, fishing for Croutons, Ogre Paladins, Damsels in disgust, th Aquarium of the Dead,the biggest dang poker game in continuim,& more. Own characters or supplied.",Aaron Most,1,S,2,"E604, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1255,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400450,Mystery At The Broken Oar Inn,"A quiet evening by the hearth, not in this game! A night’s stay brings you into the middle of murder and mayhem. Who does the deed? It could be anyone, maybe even you! Do you wish to find the answer?",Janice Ours,1,S,2,"K37, Kilbourn",13,,,,,,,,,,,,,,,,,,,,,,,
1256,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400149,Prometheus Gardens,"The most incredible,valuable treasure in the world has been located in the middle of a maze in the middle of nowhere. The only problem lies in the secret of the statues, the man-eating monsters.",Joseph Gressis,1,I,2,"E212, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1257,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400105,Rescue A Princess! Big Reward!,That’s what the sign said! But in the Guild contract we found that the Princess is a fancy doll. A doll that was dragged to the sewer by some beast! If only Guild wasn’t sticky about failing!,William Reger,1,I,2,"E607, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1258,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400037,"SPELLJAMMER, 1st Generation","Become the crew of the spelljammer Venture as you explore strange new worlds, seek out new life and boldly go where no halfling has gone before! Role-playing and problem solving stressed!",David Collins,1,I,2,"E507, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1259,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400219,We Won’t Back Down,"Cowards!!! The town council has found you unworthy of your citizenship. Therefore, to prove your-selves, you must regain a vital artifact that will help all mankind and animalkind for you rangers.",Jeff Rothecker,1,I,2,"E614, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1260,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400002,Where Are We Now III?,"Pedro’s curse. Will this finally be the end? Last year you never did find Pedro’s cousin, but you’re on the kidnappers trail. A few new tricks and surprises. Please help, it’s the only choice.",Ken Leyhe,1,S,2,"E307, E. Game Hall","14, 15",,,,,,,,,,,,,,,,,,,,,,,
1261,1990,ROLE-PLAYING GAME,AMBER by R. Talsorian Games,400267,Welcome To Amber,"Roger Zelazny, Eric Wujcik, and R. Talsorian combine to bring you an innovative, dice-less game in a fascinating world. This is a big session to total novices to the power & magic of Amber.",R Talsorian Games,1,N,FREE,"ED3, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1262,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400409,Capitol Patrol 6,"Washington D.C.’s premiere superheroes return for the sixth straight year. This year the Patrol is finally back from the future, but are they ready for 1990? GMed by Champions authors.",Robert Bell,2,N,2,"K31, Kilbourn Location: K56, Kilbourn Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
1263,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400173,Map Of The World,"Adventure in the world of international politics! A UN team of wild talents must deal with it’s first major challenge-a Nation facing Civil War. Role-playing vital. ICE sponsored, 4th edition.",Ronald Green,2,I,2,"E709, E. Game Hall Final: 14",,,,,,,,,,,,,,,,,,,,,,,,
1264,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400221,Challenge!,"A group of powerful, highly advanced aliens has organized a strange contest.Your group of super heroes will compete against super villains in four seperate scenarios. Thinking & role-playing.",Gary Kleppe,1,S,2,"E112, E. Game Hall",14,,,,,,,,,,,,,,,,,,,,,,,
1265,1990,ROLE-PLAYING GAME,DC HEROES by Mayfair Games,400160,"Blood of Angels, Part 1","Last year we couldn’t accomodate everyone with a ticket, so we’ve brought it back again this year. Breakfast at Vigil HQ is interrupted by a very important phone call. All Hell is breaking loose!",Sean Rhoades,2,I,2,"E611, E. Game Hall Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
1266,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400200,Ketchup With Your Eggs Sir?,"The Element Masters are invited to attend a search and smash bash where their hosts, the relentless River Throttlers, are preparing to feast on hero sandwiches! Hosted by EVPA. Open to all",Craig Enslin,1,N,2,"E309, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1267,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400197,"The Lenex Specimen, A Classic!","Bug-Eyed monsters have invaded! A Lenex nest is a forbidding hellhole, home to nightmarish creatures that feed on Vinyan flesh. Only one solution for a Lenex infestation, RAID! An EVPA event open to all",Llyod Montgomery,1,N,2,"E101, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1268,1990,ROLE-PLAYING GAME,GURPS by Steve Jackson Games,400150,"A, B, C, & Destruction!","It’s a countdown to disaster when the Village has 48 hours until destruction. Or, does it? By hook or crook you’ll have to find out. Strong emphasis on role-playing, not much combat. Test your wits!",Stephen Crew,1,I,2,"E306, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1269,1990,ROLE-PLAYING GAME,GURPS by Steve Jackson Games,400009,Town of St. Christopher Part 3,"Bad things come in threes. Ronald and his friends have stopped 2 evil plots but now they face a third plot hatched from deep in the earth, that threatens to destroy the entire town.",Mark Hawthorne,1,N,2,"E407, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1270,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400089,Cleric Hunt,"A renegade Cleric is on the loose. You must find him within 3 days. If you do not, you will become the hunted. Beginners are welcome, Rules taught, Role-playing stressed. Age 17 and up.",Kevin Bratager,1,N,2,"E405, E. Game Hall",14,,,,,,,,,,,,,,,,,,,,,,,
1271,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400145,Murder At Menekod,"Come be one of Harns, bad guys! There’s intrigue and danger all around as warriors and priests struggle for power in Western Harn.",David Millians,1,I,2,"E102, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1272,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400042,I.C.E. Champions VII,"Will the Rangers survive the loss of one of their own? Find out as Blumberg, Grau, Hannigan and Maloney bring you this 7th annual official tournament. Role-playing stressed.",Susan Grau,2,S,2,"E205, E. Game Hall Location: E211, E. Game Hall Final: 14",,,,,,,,,,,,,,,,,,,,,,,,
1273,1990,ROLE-PLAYING GAME,"JUSTICE, INC. Game by Iron Crown",400103,The Dead Hunger,"You have been invited to a secluded mansion for the reading of a Will. But, it is the Will of the dead man who was your mortal enemy in life.",Kevin Johnson,1,S,2,"E302, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1274,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400239,Where No Clone Has Gone Before,"This is a red level adventure, where one of our loyal trouble shooters finds a door to the unknown ZZZ SECTOR. What lies beyond the door is for you to find out. GM will provide everything.",Major Hieken,1,N,2,"E512, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
1275,1990,ROLE-PLAYING GAME,"RAVENLOFT Game by TSR, Inc.",400299,Feast of Goblyns,A sneak preview of the first module in TSR’s exciting new line of Gothic Horror AD&D adventures.,"TSR, Inc.",1,N,2,"E209, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
1276,1990,ROLE-PLAYING GAME,ROLEMASTER Game by Iron Crown,400073,"llion, Verox, or Urson?",Which dimension shall it be? An evil Wizard has been causing multi-dimensional trouble and gone to one of these 3 dimensions. Your band of characters must hold him down or he destroys the Universe.,Aaron Porter,1,S,2,"E602, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
